ID_ENI;NOM_SCIENTIFIQUE;ID_TaxRef;Family;Taxa name;RED LIST STATUS FR;POP. TREND;PN;Messicole;Agrotolerance;Native_Status;Residence_Time;Naturalization status;Chorology;FM Type;IndVal;P-value;Rank
Filipendula vulgaris;Filipendula vulgaris Moench;98718;Rosaceae;Filipendula vulgaris Moench, 1794;LC;Decrease;-;-;;Native;-;-;eurasiatic;6;1,5;;species
Foeniculum vulgare;Foeniculum vulgare Mill.;98756;Apiaceae;Foeniculum vulgare Mill., 1768;LC;Stable;-;-;;Native;-;-;mediterranean;7;21,8;***;species
Fragaria vesca;Fragaria vesca L.;98865;Rosaceae;Fragaria vesca L., 1753;LC;Not_known;-;-;;Native;-;-;cosmopolit;4;1,8;;species
Fraxinus angustifolia;Fraxinus angustifolia Vahl;98910;Oleaceae;Fraxinus angustifolia Vahl, 1804;LC;Not_known;-;-;;Native;-;-;european;7;4,3;*;species
Fraxinus excelsior;Fraxinus excelsior L. ;98921;Oleaceae;Fraxinus excelsior L., 1753;LC;Not_known;-;-;;Native;-;-;european;4;1,2;;species
Fraxinus ornus;Fraxinus ornus L. ;98933;Oleaceae;Fraxinus ornus L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;NA;NA;;species
Fumaria bastardii;Fumaria bastardii Boreau;99051;Papaveraceae;Fumaria bastardii Boreau, 1847;LC;Stable;-;-;;Native;-;-;mediterranean;7;4,3;*;species
Fumaria capreolata;Fumaria capreolata L. ;99062;Papaveraceae;Fumaria capreolata L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;7;10,6;***;species
Fumaria gaillardotii;#N/A;159678;Papaveraceae;Fumaria gaillardotii Boiss., 1867;LC;Stable;-;-;;Native;-;-;mediterranean;7;2,1;;species
Fumaria muralis;Fumaria muralis Sond. ex W.D.J.Koch;99106;Papaveraceae;Fumaria muralis Sond. ex W.D.J.Koch, 1845;LC;Stable;-;-;;Native;-;-;european;2;2,5;;species
Fumaria officinalis;Fumaria officinalis L.;99108;Papaveraceae;Fumaria officinalis L., 1753;LC;Not_known;-;-;agrotolerant;Native;-;-;circumboreal;7;11,3;***;species
Galactites tomentosus;Galactites tomentosus Moench;99224;Asteraceae;Galactites tomentosus Moench, 1794;LC;Stable;-;-;;Native;-;-;mediterranean;7;7,2;**;species
Galega officinalis;Galega officinalis L.;99260;Fabaceae;Galega officinalis L., 1753;NA;Not_assessed;-;-;;Alien;Neophyt;Invasive;introduced;6;1,5;;species
Galeopsis tetrahit;Galeopsis tetrahit L.;99334;Lamiaceae;Galeopsis tetrahit L., 1753;LC;Not_known;-;-;;Native;-;-;eurasiatic;4;3,3;;species
Galinsoga parviflora;Galinsoga parviflora Cav.;99358;Asteraceae;Galinsoga parviflora Cav., 1795;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;1;1,6;;species
Galinsoga quadriradiata;Galinsoga quadriradiata Ruiz & Pav.;99359;Asteraceae;Galinsoga quadriradiata Ruiz & Pav., 1798;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;2;1,5;;species
