link;id_parcelle;code_parcelle;region;plante_reference;region_code;Azote.Dumas.g.kg;limons_grossiers;Capacite.d.Echange.Cationique..CEC..mEq.kg;Calcaire.actif..CaCO3....Methode.A.g.kg;argiles;Matieres.Organiques..Carbone.x.1.73..g.kg;Calcaire.total..CaCO3..g.kg;limons_fins;sables_fins;pH.eau.pH.units.No.unit;Capacite.d.Echange.Cationique..CEC..mEq.100.g;sables_grossiers;Carbone.organique.g.kg;Granulometrie...Pratique.de.la.decarbonatation.No.unit.No.unit;Cuivre..Cu..mg.kg;Phosphore.Olsen..P2O5..mg.kg;Cuivre.extractible.EDTA..Cu..mg.kg;Phosphore.Olsen..P2O5..g.kg;Calcaire.actif..CaCO3....Methode.B.g.kg
538-PIC33;538;PIC 33;HAUTS-DE-FRANCE;Ble;HDF;1.51;410;125.1;Non mesure;194;22.84;5.2;304;68;7.7;12.51;18;13.20;OUI;#N/A;48;#N/A;0.048;#N/A
430-PIC23;430;PIC 23;HAUTS-DE-FRANCE;Mais;HDF;1.44;450;139.4;Non mesure;226;21.82;15.6;210;87;7.9;13.94;11;12.61;OUI;#N/A;113;#N/A;0.113;#N/A
133-PIC26;133;PIC 26;HAUTS-DE-FRANCE;Mais;HDF;1.18;347;118.1;Non mesure;184;16.97;8.3;210;218;8.0;11.81;32;9.81;OUI;#N/A;68;#N/A;0.068;#N/A
433-PIC08;433;PIC 08;HAUTS-DE-FRANCE;Ble;HDF;1.06;511;83.8;Non mesure;121;16.30;4.2;186;163;7.6;8.38;15;9.42;OUI;#N/A;82;#N/A;0.082;#N/A
200-PIC19;200;PIC 19;HAUTS-DE-FRANCE;Ble;HDF;1.43;460;103.4;Non mesure;152;22.65;3.1;261;99;7.4;10.34;25;13.09;OUI;#N/A;181;#N/A;0.181;#N/A
337-PIC05;337;PIC 05;HAUTS-DE-FRANCE;Ble;HDF;1.62;412;137.7;Non mesure;200;23.79;17.7;266;77;8.0;13.77;28;13.75;OUI;#N/A;170;#N/A;0.170;#N/A
174-PIC31;174;PIC 31;HAUTS-DE-FRANCE;Ble;HDF;1.72;260;117.1;146.3;163;25.76;286.1;131;84;8.1;11.71;76;14.89;OUI;#N/A;81;#N/A;0.081;140.0
347-PIC02;347;PIC 02;HAUTS-DE-FRANCE;Ble;HDF;1.71;417;143.7;16.3;199;24.12;22.8;199;151;8.0;14.37;11;13.94;OUI;#N/A;45;#N/A;0.045;#N/A
341-PIC03;341;PIC 03;HAUTS-DE-FRANCE;Ble;HDF;1.45;467;114.2;Non mesure;160;20.47;10.4;245;105;7.9;11.42;12;11.83;OUI;#N/A;155;#N/A;0.155;#N/A
131-PIC17;131;PIC 17;HAUTS-DE-FRANCE;Ble;HDF;1.17;476;111.0;Non mesure;176;17.27;4.2;268;69;7.6;11.10;7;9.98;OUI;#N/A;76;#N/A;0.076;#N/A
091-PIC21;91;PIC 21;HAUTS-DE-FRANCE;Ble;HDF;1.39;499;93.8;Non mesure;130;20.55;Non mesure;298;67;6.8;9.38;6;11.88;OUI;#N/A;128;#N/A;0.128;#N/A
