"","id_parcelle","N_tot","limons_grossiers","CEC_a","argiles","limons_fins","sables_fins","pH","CEC_b","sables_grossiers","C_orga","phosphore_mg_kg"
"86","255",2.15,189,132.3,199,167,9,8.1,13.23,7,19.43,57
"87","37",1.49,453,151.7,235,258,43,7.9,15.17,4,11.35,121
"88","49",1.53,179,186.3,335,111,205,8.1,18.63,34,14,30
"89","520",1.93,156,112,152,129,21,8.1,11.2,10,18.26,73
"90","283",1.17,244,120.4,217,124,316,7.9,12.04,68,8.82,57
"91","508",2.04,104,109.5,162,112,12,8.2,10.95,9,19,77
"92","286",1.49,236,148.4,250,244,84,7.7,14.84,179,11.55,106
"93","235",1.94,271,150.4,336,236,56,8,15.04,37,16.77,65
"94","110",1.75,96,160.9,264,111,255,8.1,16.09,86,21.11,98
"95","280",1.77,36,77.4,106,42,33,8.4,7.74,28,19.98,89
"96","24",2.25,118,164,253,117,251,8.2,16.4,104,24.34,144
"97","225",2.26,130,174,236,99,294,8.1,17.4,106,25.89,83
"98","114",2.31,106,187,286,122,155,8.1,18.7,75,28.71,161
"99","108",1.77,155,146.2,219,106,179,8.2,14.62,74,21.68,96
"100","109",2,95,138,205,102,178,8.2,13.8,69,23.28,65
"101","503",1.58,203,146.6,282,134,96,8.3,14.66,74,13.99,150
"102","126",1.47,294,207.6,301,241,36,8.1,20.76,120,13.45,78
"103","39",1.88,112,209.4,281,99,71,8.2,20.94,240,17.36,114
"104","127",1.63,319,182,321,261,20,8.5,18.2,6,13.66,28
"105","132",1.44,32,245.7,358,77,94,8,24.57,423,9.45,44
"106","129",1.17,325,132.7,223,247,53,5.7,13.27,151,9.21,44
"107","128",2.06,194,353.9,479,218,34,8.3,35.39,38,14.91,26
"108","243",2.01,153,97.6,118,182,158,7,9.76,388,19.01,42
"109","318",1.24,92,106,144,146,200,6.6,10.6,418,10.52,17
"110","317",1.61,101,111.4,110,126,187,5.7,11.14,477,17.58,94
"111","158",1.63,79,130.7,141,175,141,6.5,13.07,464,14.84,106
"112","251",1.22,84,79.7,141,183,152,6,7.97,439,11.79,53
"113","315",1.76,86,95.5,135,172,101,6.7,9.55,506,16.41,49
"114","319",2.96,100,135.5,143,148,238,7.6,13.55,364,27.5,63
"115","242",1.64,97,81.7,128,163,181,6.5,8.17,431,13.85,15
"116","244",1.44,167,121,177,182,303,7.9,12.1,163,12.68,49
"117","316",1.74,114,119.3,141,171,179,6.4,11.93,395,16.36,47
"118","320",1.47,72,78.4,112,132,131,7,7.84,552,15.57,65
"119","160",1.36,107,72.5,102,167,168,6.5,7.25,456,13.28,117
"120","123",1.25,317,108,185,357,46,7.8,10.8,77,11.02,91
"121","252",1.22,431,69.7,113,365,57,5.6,6.97,34,11.37,63
"122","96",1.29,352,124.9,162,322,63,7.3,12.49,98,11.72,83
"123","32",1.79,331,182.2,269,310,34,7.6,18.22,52,15.94,84
"124","166",1.5,178,120.3,151,313,222,8.1,12.03,118,11.98,23
"125","154",0.86,309,45.2,91,239,192,6.7,4.52,169,6.5,28
"126","470",1.17,348,79.7,169,303,130,5.6,7.97,51,9.89,28
"127","134",1.42,315,84.2,167,247,116,5.3,8.42,155,11.08,94
"128","165",1.52,290,111.4,206,239,184,7.7,11.14,75,13.48,110
"129","480",0.98,266,91.6,186,326,110,6.8,9.16,113,8.32,46
"130","474",1.23,288,71,160,351,96,8.1,7.1,95,10.58,99
"131","502",0.94,239,64.3,158,249,228,5.8,6.43,126,7.1,54
"132","151",1.23,133,81.9,147,269,156,6.1,8.19,296,10.06,61
"133","162",1.39,99,166.7,398,204,112,8.3,16.67,101,9.26,18
"134","241",1.23,238,69.1,144,241,158,5.4,6.91,220,11.64,90
"135","170",0.7,139,81.8,125,125,256,7.6,8.18,353,7.94,228
"136","250",0.77,171,81.5,138,164,245,7.6,8.15,280,7.54,56
"137","324",1.15,250,84.3,156,192,301,8.3,8.43,44,9.7,53
"138","541",1.87,401,101.1,166,225,118,6.2,10.11,91,18.33,62
"139","298",3.29,259,127.3,191,181,186,5.4,12.73,182,31.75,57
"140","140",2,278,94.5,126,412,92,6.3,9.45,93,17.08,108
"141","392",2.67,205,112.2,230,447,64,5.4,11.22,54,20.1,55
"142","163",2.28,265,88.3,141,378,108,6.6,8.83,107,18.82,39
"143","157",2.84,156,118,252,320,79,6.8,11.8,194,20.71,39
"144","141",2.35,306,99.9,163,362,79,6.8,9.99,90,19.31,72
"145","164",1.95,181,76,139,201,67,5.4,7.6,411,16.37,61
"146","562",1.06,304,62.1,109,235,101,6.3,6.21,251,8.73,33
"147","142",1.45,59,161,249,71,214,7.8,16.1,402,12.09,51
"148","139",1.65,171,60.1,116,213,91,5.7,6.01,409,14.75,32
"149","553",0.88,19,73,74,42,116,8.4,7.3,734,5.92,73
"150","432",0.94,135,101,170,102,329,8.4,10.1,222,8.5,37
"151","521",1.55,270,121.2,247,234,146,6.5,12.12,102,14.29,56
"152","98",1.76,183,153.2,194,197,146,7.8,15.32,271,18.12,125
"153","111",1.23,136,67.4,137,305,128,5.5,6.74,293,11.25,62
"154","302",1,199,50.9,142,297,198,6,5.09,165,8.49,15
"155","557",1.23,176,71.3,157,312,186,6.4,7.13,170,10.19,45
"156","308",0.87,231,77.4,185,374,164,6,7.74,47,8.55,23
"157","311",1.16,324,57.8,133,321,135,6.1,5.78,87,13.2,193
"158","309",0.89,13,59.4,33,29,233,6.1,5.94,693,13.76,191
"159","368",2.1,37,188.7,388,67,64,8.2,18.87,224,20.07,30
"160","344",0.72,61,29.3,19,45,146,5.9,2.93,729,8.85,82
"161","68",1.32,279,83.2,166,363,61,6.7,8.32,131,12.65,75
"162","1",1.12,321,77.4,188,361,57,6.5,7.74,72,10.12,75
"163","226",1.75,278,106.8,308,270,55,5.5,10.68,90,17.49,74
"164","17",0.61,21,40.2,45,23,456,7.9,4.02,453,5.83,105
"165","46",2.94,101,181.4,275,139,16,8,18.14,13,26.85,25
"166","102",2.07,267,104.7,176,272,113,6.8,10.47,172,20.57,75
"167","121",1.36,295,86.7,180,424,40,6.5,8.67,61,13.4,67
"168","105",0.67,47,98.2,127,58,386,8.1,9.82,378,7.05,94
"169","59",1.9,280,146.6,260,386,31,6.8,14.66,43,17.74,120
"170","54",0.8,43,66.2,75,75,394,6.8,6.62,410,9.65,94
"171","522",2.68,41,193,333,136,44,8.2,19.3,67,26.89,127
"172","53",1.92,165,201.1,333,212,100,8.2,20.11,79,20.28,163
"173","90",1.13,105,76.7,107,93,341,6.4,7.67,354,12.87,56
"174","395",1.38,452,91.1,124,306,79,8,9.11,20,11.75,33
"175","404",1.47,253,151.4,202,169,197,8,15.14,172,13.72,67
"176","534",1.24,474,101.1,140,259,92,7.9,10.11,31,11.34,54
"177","535",1.25,481,111.1,191,247,67,6.7,11.11,14,12.02,40
"178","48",1.95,8,207.9,340,32,11,8.2,20.79,7,14.3,67
"179","23",1.68,292,155.3,267,226,53,8.2,15.53,44,15.92,120
"180","9",1.14,246,53.9,79,158,405,7.6,5.39,109,10.52,154
"181","190",1.16,351,126.7,228,281,78,7.9,12.67,55,9.55,76
"182","218",1.29,414,111.4,177,221,108,7.9,11.14,78,11.92,126
"183","118",3.81,63,216.2,424,155,37,8.2,21.62,60,32.82,87
"184","92",3.78,42,191.6,374,88,9,8.2,19.16,7,33.68,32
"185","101",3.23,53,172.3,381,135,8,8.3,17.23,10,27.55,55
"186","228",1.16,518,101.9,171,233,76,6.8,10.19,2,10.28,93
"187","112",2.34,274,128.5,173,145,40,8.3,12.85,5,19.1,107
"188","548",2.17,461,135,206,177,50,8.2,13.5,11,18.47,37
"189","366",1.96,499,130,198,219,76,7.5,13,4,16.77,145
"190","554",2.77,317,156.2,251,238,84,6.6,15.62,108,24.09,98
"191","116",1.37,473,120.9,216,237,69,7.2,12.09,3,11.94,125
"192","94",1.58,569,102.1,145,207,72,7,10.21,6,13.71,78
"193","115",1.84,449,157.4,228,271,43,8.1,15.74,3,14.71,58
"194","117",1.82,164,78.4,103,79,24,8.4,7.84,9,16.59,40
"195","3",1.06,165,96.7,219,230,191,8.5,9.67,60,8.73,46
"196","4",0.76,183,66.1,151,129,400,8.5,6.61,58,6.82,134
"197","65",0.9,55,102,247,100,92,8.5,10.2,50,9.01,32
"198","196",0.87,128,161.6,294,176,163,8.1,16.16,226,6.33,63
"199","66",0.85,99,68.4,71,74,273,7.8,6.84,481,9.7,83
"200","197",0.67,100,134.5,179,137,152,8.5,13.45,410,4.54,20
"201","155",1.78,383,123.3,217,293,69,6.9,12.33,37,16.26,64
"202","156",1.4,459,87.9,139,315,69,6.8,8.79,18,11.59,21
"203","45",1.19,171,53.2,69,89,296,6.6,5.32,375,10.2,117
"204","159",1.78,325,80.4,162,319,81,6.1,8.04,113,15.42,26
"205","44",2.67,182,242.7,347,154,91,7.2,24.27,224,15.48,81
"206","238",1.02,120,98.8,134,91,178,8.1,9.88,467,8.64,29
"207","67",1.2,342,97,182,198,164,7.2,9.7,113,13.06,101
"208","364",1.7,135,81.3,90,41,460,8.1,8.13,129,14.81,73
"209","431",0.94,72,53.4,88,78,287,8.4,5.34,269,9.18,14
"210","300",0.96,104,94.8,199,129,44,8.4,9.48,5,7.58,69
"211","58",1.77,182,219.7,432,198,93,8.4,21.97,18,12.66,62
"212","500",0.93,275,109.9,226,228,84,8.1,10.99,177,8.76,153
"213","381",1.12,144,147.3,281,215,113,7.1,14.73,247,9.57,30
"214","383",1.23,282,162.2,259,253,161,7.1,16.22,45,13.6,62
"215","382",1.54,158,166.4,325,190,33,8.4,16.64,26,14.25,115
"216","327",2.72,154,190.6,328,231,16,8.3,19.06,53,24.51,87
"217","330",2.6,230,217.2,367,365,14,7.8,21.72,10,25.19,82
"218","333",0.95,364,71.4,119,310,123,6.9,7.14,84,8.75,51
"219","5",1.58,60,69.1,25,43,192,7.6,6.91,668,15.95,175
"220","103",0.95,242,66.8,91,159,380,7.9,6.68,126,9.37,79
"221","439",1.75,200,97.8,191,158,237,8.2,9.78,130,15.37,19
"222","440",1.39,90,84.7,176,114,129,8.5,8.47,38,13.14,56
"223","446",1.8,22,199,413,136,71,8.4,19.9,51,15.22,32
"224","353",0.44,103,81.7,159,89,240,8.5,8.17,301,3.91,12
"225","303",1.85,67,171,331,108,84,8.2,17.1,94,17.06,25
"226","494",0.62,160,89.6,187,113,224,8.4,8.96,103,4.89,16
"227","304",0.45,108,49.6,66,133,186,7.7,4.96,506,5.8,57
"228","380",0.8,111,164.1,289,190,143,8.2,16.41,233,6.2,9
"229","219",1.24,381,115.4,192,199,156,7.4,11.54,69,10.75,107
"230","40",1.25,325,94.2,126,265,183,7.6,9.42,98,10.57,39
"231","513",1.18,476,126.8,191,276,39,7.1,12.68,16,10.18,50
