"","id_parc_an","id_parcelle","annee","forbs_100","graminoid_100","annual_100","perennial_100","indigenous_100","neophytes_100","rich_sp","shannon","invsimp","simpson","nat_val_100","agrotolerant_100","messicole_100","not_messicole_100","seed_prone_100","other_seeds_100","weeds_100","not_weeds_100"
"673","AQ005_2017",313,2017,70.8860759493671,29.1139240506329,13.9240506329114,86.0759493670886,92.4050632911392,7.59493670886076,15,0.604083424276312,1.39271111943066,0.281976006331591,67.0886075949367,32.9113924050633,0,100,29.1139240506329,70.8860759493671,22.7848101265823,77.2151898734177
"674","AQ005_2018",313,2018,77.7777777777778,22.2222222222222,25.3968253968254,74.6031746031746,92.0634920634921,7.93650793650794,16,0.569709940957683,1.37416842376832,0.272287164583695,50.7936507936508,49.2063492063492,0,100,26.984126984127,73.015873015873,9.52380952380952,90.4761904761905
"675","AQ006_2013",301,2013,58.4905660377358,41.5094339622642,49.0566037735849,50.9433962264151,100,0,15,0.537315924828887,1.35230078885776,0.260519546953258,26.4150943396226,73.5849056603774,0,100,52.8301886792453,47.1698113207547,56.6037735849057,43.3962264150943
"676","AQ006_2014",301,2014,57.1428571428571,42.8571428571429,19.047619047619,80.9523809523809,100,0,13,0.506148399471262,1.33960852833652,0.253513262384373,59.5238095238095,40.4761904761905,0,100,45.2380952380952,54.7619047619048,21.4285714285714,78.5714285714286
"677","AQ006_2015",301,2015,86.2068965517241,13.7931034482759,13.7931034482759,86.2068965517241,100,0,10,0.470237782348959,1.32474864460208,0.245139820240861,44.8275862068966,55.1724137931034,0,100,17.2413793103448,82.7586206896552,24.1379310344828,75.8620689655172
"678","AQ006_2016",301,2016,33.3333333333333,66.6666666666667,0,100,100,0,5,0.428138768612727,1.30884795798766,0.235969316453313,86.6666666666667,13.3333333333333,0,100,66.6666666666667,33.3333333333333,13.3333333333333,86.6666666666667
"679","AQ007_2013",325,2013,64.4736842105263,35.5263157894737,9.21052631578947,90.7894736842105,100,0,22,0.613695221759308,1.40139105123399,0.286423301248105,94.7368421052632,5.26315789473684,0,100,35.5263157894737,64.4736842105263,14.4736842105263,85.5263157894737
"680","AQ007_2014",325,2014,64.5569620253165,35.4430379746835,5.06329113924051,94.9367088607595,100,0,22,0.621169847344983,1.40467034696299,0.288089193196053,93.6708860759494,6.32911392405063,0,100,35.4430379746835,64.5569620253165,7.59493670886076,92.4050632911392
"681","AQ007_2015",325,2015,63.855421686747,36.144578313253,6.02409638554217,93.9759036144578,100,0,19,0.627367399421165,1.40910130603262,0.290327816943451,96.3855421686747,3.6144578313253,0,100,32.5301204819277,67.4698795180723,3.6144578313253,96.3855421686747
"682","AQ007_2016",325,2016,59.7402597402597,40.2597402597403,7.79220779220779,92.2077922077922,100,0,20,0.614061598862796,1.4019582783226,0.286712011718015,89.6103896103896,10.3896103896104,0,100,40.2597402597403,59.7402597402597,7.79220779220779,92.2077922077922
"683","AQ007_2017",325,2017,64.367816091954,35.632183908046,5.74712643678161,94.2528735632184,100,0,20,0.641439463788011,1.41337338981358,0.29247288281556,90.8045977011494,9.19540229885057,0,100,31.0344827586207,68.9655172413793,9.19540229885057,90.8045977011494
"684","AQ007_2018",325,2018,57.2916666666667,42.7083333333333,12.5,87.5,100,0,21,0.65818163254353,1.42359365969753,0.297552364617537,94.7916666666667,5.20833333333333,0,100,35.4166666666667,64.5833333333333,4.16666666666667,95.8333333333333
"685","AQ008_2014",500,2014,72.3809523809524,27.6190476190476,24.7619047619048,75.2380952380952,100,0,27,0.763185151023805,1.59259039114021,0.372092155294212,69.5238095238095,30.4761904761905,0,100,31.4285714285714,68.5714285714286,15.2380952380952,84.7619047619048
"686","AQ008_2015",500,2015,60.9375,39.0625,3.125,96.875,100,0,18,0.664850392060443,1.5429883337049,0.351906959919209,87.5,12.5,0,100,42.1875,57.8125,17.1875,82.8125
"687","AQ008_2016",500,2016,68,32,6,94,100,0,21,0.745540564220553,1.5859652700689,0.369469168794247,83.3333333333333,16.6666666666667,0,100,36,64,20,80
"688","AQ008_2017",500,2017,68.5393258426966,31.4606741573034,3.37078651685393,96.6292134831461,100,0,21,0.723718344610006,1.57245449973558,0.364051551146213,81.25,18.75,0,100,34.8314606741573,65.1685393258427,22.4719101123595,77.5280898876404
"689","AQ008_2018",500,2018,75.3424657534247,24.6575342465753,2.73972602739726,97.2602739726027,100,0,17,0.68243203540021,1.55298036914184,0.356076857202909,79.6875,20.3125,0,100,28.7671232876712,71.2328767123288,17.8082191780822,82.1917808219178
"690","AQ009_2013",346,2013,68.6746987951807,31.3253012048193,20.4819277108434,79.5180722891566,96.3855421686747,3.6144578313253,20,0.640505158398264,1.42921537677646,0.300315392452985,79.5180722891566,20.4819277108434,0,100,32.5301204819277,67.4698795180723,4.81927710843374,95.1807228915663
"691","AQ009_2014",346,2014,65.7534246575342,34.2465753424658,23.2876712328767,76.7123287671233,95.8904109589041,4.10958904109589,18,0.620961991074548,1.41740949406325,0.294487581613886,76.7123287671233,23.2876712328767,0,100,47.945205479452,52.0547945205479,20.5479452054795,79.4520547945205
"692","AQ009_2015",346,2015,79.3103448275862,20.6896551724138,60.9195402298851,39.0804597701149,97.7011494252874,2.29885057471264,17,0.647599039989852,1.43346920029852,0.302391708317314,57.4712643678161,42.5287356321839,0,100,20.6896551724138,79.3103448275862,33.3333333333333,66.6666666666667
"693","AQ009_2016",346,2016,72.6027397260274,27.3972602739726,24.6575342465753,75.3424657534247,100,0,16,0.615866109381873,1.41698162582255,0.294274546842125,42.4657534246575,57.5342465753425,0,100,27.3972602739726,72.6027397260274,21.9178082191781,78.0821917808219
"694","AQ009_2017",346,2017,74.6478873239437,25.3521126760563,35.2112676056338,64.7887323943662,97.1830985915493,2.8169014084507,24,0.617862831157186,1.41447500679261,0.293023916861174,46.4788732394366,53.5211267605634,0,100,28.169014084507,71.830985915493,19.7183098591549,80.2816901408451
"695","AQ009_2018",346,2018,68.6567164179104,31.3432835820896,28.3582089552239,71.6417910447761,100,0,16,0.598485900965706,1.40961217877849,0.290585016889854,46.2686567164179,53.7313432835821,0,100,31.3432835820896,68.6567164179104,20.8955223880597,79.1044776119403
"696","AQ010_2014",332,2014,29.0322580645161,70.9677419354839,9.67741935483871,90.3225806451613,100,0,9,0.492248315782761,1.35603215330829,0.262554359378343,74.1935483870968,25.8064516129032,0,100,70.9677419354839,29.0322580645161,64.5161290322581,35.4838709677419
"697","AQ010_2015",332,2015,60.7843137254902,39.2156862745098,15.6862745098039,84.3137254901961,100,0,13,0.547428851798764,1.37872859943963,0.274694091058646,100,0,0,100,39.2156862745098,60.7843137254902,0,100
"698","AQ010_2017",332,2017,74.0740740740741,25.9259259259259,25.9259259259259,74.0740740740741,100,0,29,1.03698729015784,1.64047155693814,0.390419178088982,74.0740740740741,25.9259259259259,3.7037037037037,96.2962962962963,29.6296296296296,70.3703703703704,25.9259259259259,74.0740740740741
"699","AQ010_2018",332,2018,31.5789473684211,68.4210526315789,26.3157894736842,73.6842105263158,100,0,9,0.462839723729437,1.34176743380951,0.254714360475403,63.1578947368421,36.8421052631579,0,100,73.6842105263158,26.3157894736842,68.4210526315789,31.5789473684211
