"nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn"
"Matricaria discoidea","Matricaria discoidea","Matricaria discoidea DC., 1838",107446,107446,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Matricaria discoidea"
"Medicago sativa","Medicago sativa","Medicago sativa L., 1753",107711,107711,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Medicago sativa"
"Medicago arabica","Medicago arabica","Medicago arabica (L.) Huds., 1762",107574,107574,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Medicago arabica"
"Medicago laciniata","Medicago laciniata","Medicago laciniata (L.) Mill., 1768",107639,107639,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Medicago laciniata"
"Medicago lupulina","Medicago lupulina","Medicago lupulina L., 1753",107649,107649,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Medicago lupulina"
"Medicago minima","Medicago minima","Medicago minima (L.) L., 1754",107658,107658,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Medicago minima"
"Medicago murex","Medicago murex","Medicago murex Willd., 1802",107665,107665,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Medicago murex"
"Medicago murex","Medicago murex","Medicago murex subsp. sphaerocarpos (Bertol.) I.Lesins & K.A.Lesins, 1979",107664,137648,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Medicago murex"
"Medicago orbicularis","Medicago orbicularis","Medicago orbicularis (L.) Bartal., 1776",107677,107677,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Medicago orbicularis"
"Medicago orbicularis","Medicago orbicularis","Medicago orbicularis (L.) Bartal., 1776",159729,107677,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Medicago orbicularis"
"Medicago polymorpha","Medicago polymorpha","Medicago polymorpha L., 1753",107689,107689,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Medicago polymorpha"
"Medicago truncatula","Medicago truncatula","Medicago truncatula Gaertn., 1791",107739,107739,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Medicago truncatula"
